ASTAR: Stopping Powers and Range Tables for Alpha Particles

KAPTON POLYIMIDE FILM                                                   

Kinetic   Electron. Nuclear   Total     
Energy    Stp. Pow. Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g 

1.000E-03 1.655E+02 1.715E+02 3.370E+02 
1.500E-03 1.976E+02 1.580E+02 3.557E+02 
2.000E-03 2.242E+02 1.465E+02 3.707E+02 
2.500E-03 2.472E+02 1.368E+02 3.840E+02 
3.000E-03 2.678E+02 1.285E+02 3.963E+02 
4.000E-03 3.040E+02 1.150E+02 4.190E+02 
5.000E-03 3.354E+02 1.045E+02 4.399E+02 
6.000E-03 3.635E+02 9.611E+01 4.596E+02 
7.000E-03 3.891E+02 8.914E+01 4.783E+02 
8.000E-03 4.128E+02 8.327E+01 4.960E+02 
9.000E-03 4.348E+02 7.823E+01 5.131E+02 
1.000E-02 4.556E+02 7.385E+01 5.295E+02 
1.250E-02 5.029E+02 6.504E+01 5.680E+02 
1.500E-02 5.452E+02 5.834E+01 6.036E+02 
1.750E-02 5.838E+02 5.304E+01 6.368E+02 
2.000E-02 6.194E+02 4.873E+01 6.681E+02 
2.250E-02 6.526E+02 4.514E+01 6.977E+02 
2.500E-02 6.838E+02 4.210E+01 7.259E+02 
2.750E-02 7.133E+02 3.949E+01 7.527E+02 
3.000E-02 7.412E+02 3.722E+01 7.785E+02 
3.500E-02 7.935E+02 3.346E+01 8.270E+02 
4.000E-02 8.416E+02 3.045E+01 8.721E+02 
4.500E-02 8.863E+02 2.799E+01 9.143E+02 
5.000E-02 9.282E+02 2.593E+01 9.542E+02 
5.500E-02 9.677E+02 2.419E+01 9.919E+02 
6.000E-02 1.005E+03 2.268E+01 1.028E+03 
6.500E-02 1.041E+03 2.137E+01 1.062E+03 
7.000E-02 1.074E+03 2.021E+01 1.095E+03 
7.500E-02 1.107E+03 1.919E+01 1.126E+03 
8.000E-02 1.138E+03 1.827E+01 1.156E+03 
8.500E-02 1.167E+03 1.745E+01 1.185E+03 
9.000E-02 1.196E+03 1.670E+01 1.212E+03 
9.500E-02 1.223E+03 1.602E+01 1.239E+03 
1.000E-01 1.250E+03 1.540E+01 1.265E+03 
1.250E-01 1.369E+03 1.294E+01 1.382E+03 
1.500E-01 1.471E+03 1.121E+01 1.483E+03 
1.750E-01 1.560E+03 9.911E+00 1.570E+03 
2.000E-01 1.636E+03 8.903E+00 1.645E+03 
2.250E-01 1.703E+03 8.095E+00 1.711E+03 
2.500E-01 1.762E+03 7.430E+00 1.769E+03 
