ASTAR: Stopping Powers and Range Tables for Alpha Particles

XENON                                                                   

Kinetic   Electron. Nuclear   Total     
Energy    Stp. Pow. Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g 

1.000E-03 1.811E+01 1.029E+01 2.840E+01 
1.500E-03 2.330E+01 1.102E+01 3.432E+01 
2.000E-03 2.786E+01 1.143E+01 3.928E+01 
2.500E-03 3.199E+01 1.166E+01 4.365E+01 
3.000E-03 3.583E+01 1.178E+01 4.761E+01 
4.000E-03 4.284E+01 1.185E+01 5.469E+01 
5.000E-03 4.920E+01 1.179E+01 6.099E+01 
6.000E-03 5.510E+01 1.167E+01 6.677E+01 
7.000E-03 6.063E+01 1.152E+01 7.215E+01 
8.000E-03 6.587E+01 1.135E+01 7.722E+01 
9.000E-03 7.087E+01 1.117E+01 8.204E+01 
1.000E-02 7.565E+01 1.099E+01 8.664E+01 
1.250E-02 8.689E+01 1.055E+01 9.744E+01 
1.500E-02 9.730E+01 1.014E+01 1.074E+02 
1.750E-02 1.071E+02 9.754E+00 1.168E+02 
2.000E-02 1.163E+02 9.401E+00 1.257E+02 
2.250E-02 1.251E+02 9.076E+00 1.342E+02 
2.500E-02 1.335E+02 8.777E+00 1.423E+02 
2.750E-02 1.417E+02 8.500E+00 1.502E+02 
3.000E-02 1.495E+02 8.243E+00 1.577E+02 
3.500E-02 1.644E+02 7.781E+00 1.722E+02 
4.000E-02 1.786E+02 7.378E+00 1.860E+02 
4.500E-02 1.920E+02 7.021E+00 1.991E+02 
5.000E-02 2.049E+02 6.703E+00 2.116E+02 
5.500E-02 2.173E+02 6.417E+00 2.237E+02 
6.000E-02 2.292E+02 6.159E+00 2.353E+02 
6.500E-02 2.407E+02 5.925E+00 2.466E+02 
7.000E-02 2.518E+02 5.710E+00 2.575E+02 
7.500E-02 2.626E+02 5.513E+00 2.682E+02 
8.000E-02 2.731E+02 5.331E+00 2.785E+02 
8.500E-02 2.834E+02 5.163E+00 2.885E+02 
9.000E-02 2.933E+02 5.007E+00 2.983E+02 
9.500E-02 3.030E+02 4.861E+00 3.079E+02 
1.000E-01 3.125E+02 4.725E+00 3.172E+02 
1.250E-01 3.567E+02 4.158E+00 3.609E+02 
1.500E-01 3.965E+02 3.727E+00 4.002E+02 
1.750E-01 4.325E+02 3.386E+00 4.359E+02 
2.000E-01 4.652E+02 3.109E+00 4.683E+02 
2.250E-01 4.949E+02 2.879E+00 4.978E+02 
2.500E-01 5.218E+02 2.684E+00 5.245E+02 
2.750E-01 5.461E+02 2.517E+00 5.486E+02 
