ASTAR: Stopping Powers and Range Tables for Alpha Particles

SILVER                                                                  

Kinetic   Electron. Nuclear   Total     
Energy    Stp. Pow. Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g 

1.000E-03 3.126E+01 1.386E+01 4.512E+01 
1.500E-03 3.813E+01 1.473E+01 5.287E+01 
2.000E-03 4.391E+01 1.518E+01 5.909E+01 
2.500E-03 4.898E+01 1.540E+01 6.438E+01 
3.000E-03 5.356E+01 1.550E+01 6.905E+01 
4.000E-03 6.166E+01 1.547E+01 7.714E+01 
5.000E-03 6.879E+01 1.531E+01 8.410E+01 
6.000E-03 7.521E+01 1.508E+01 9.029E+01 
7.000E-03 8.111E+01 1.482E+01 9.593E+01 
8.000E-03 8.660E+01 1.455E+01 1.011E+02 
9.000E-03 9.174E+01 1.427E+01 1.060E+02 
1.000E-02 9.660E+01 1.400E+01 1.106E+02 
1.250E-02 1.077E+02 1.336E+01 1.211E+02 
1.500E-02 1.178E+02 1.277E+01 1.306E+02 
1.750E-02 1.270E+02 1.223E+01 1.393E+02 
2.000E-02 1.356E+02 1.175E+01 1.474E+02 
2.250E-02 1.436E+02 1.131E+01 1.550E+02 
2.500E-02 1.512E+02 1.090E+01 1.621E+02 
2.750E-02 1.584E+02 1.053E+01 1.690E+02 
3.000E-02 1.653E+02 1.019E+01 1.755E+02 
3.500E-02 1.782E+02 9.577E+00 1.878E+02 
4.000E-02 1.902E+02 9.048E+00 1.993E+02 
4.500E-02 2.014E+02 8.584E+00 2.100E+02 
5.000E-02 2.120E+02 8.173E+00 2.202E+02 
5.500E-02 2.220E+02 7.806E+00 2.298E+02 
6.000E-02 2.316E+02 7.476E+00 2.391E+02 
6.500E-02 2.407E+02 7.177E+00 2.479E+02 
7.000E-02 2.495E+02 6.905E+00 2.564E+02 
7.500E-02 2.579E+02 6.656E+00 2.646E+02 
8.000E-02 2.660E+02 6.427E+00 2.724E+02 
8.500E-02 2.739E+02 6.215E+00 2.801E+02 
9.000E-02 2.814E+02 6.019E+00 2.875E+02 
9.500E-02 2.888E+02 5.837E+00 2.946E+02 
1.000E-01 2.959E+02 5.667E+00 3.016E+02 
1.250E-01 3.288E+02 4.964E+00 3.337E+02 
1.500E-01 3.578E+02 4.433E+00 3.622E+02 
1.750E-01 3.838E+02 4.017E+00 3.878E+02 
2.000E-01 4.074E+02 3.680E+00 4.111E+02 
2.250E-01 4.288E+02 3.401E+00 4.322E+02 
2.500E-01 4.484E+02 3.166E+00 4.516E+02 
2.750E-01 4.663E+02 2.964E+00 4.693E+02 
